Treatment,treat,Group,Aperture
Red light,100mM,H,1.405
Red light,100mM,H,0.961
Red light,100mM,H,1.638
Red light,100mM,H,1.61
Red light,100mM,H,0.819
Red light,100mM,H,2.439
Red light,100mM,H,2.734
Red light,100mM,H,0.405
Red light,100mM,H,0.981
Red light,100mM,H,2.37
Red light,100mM,H,5.505
Red light,100mM,H,1.648
Red light,100mM,H,3.136
Red light,100mM,H,4.561
Red light,100mM,H,0.843
Red light,100mM,H,0.799
Red light,100mM,H,0.48
Red light,100mM,H,1.138
Red light,100mM,H,0.944
Red light,100mM,H,0.284
Red light,100mM,H,1.538
Red light,100mM,H,1.041
Red light,100mM,H,1.838
Red light,100mM,H,0.869
Red light,100mM,H,0.628
Red light,100mM,H,0.14
Red light,100mM,H,1.638
Red light,100mM,H,1.314
Red light,100mM,H,1.068
Red light,100mM,H,0.716
Red light,100mM,H,0.471
Red light,100mM,H,0.896
Red light,100mM,H,0.569
Red light,100mM,H,0.717
Red light,100mM,H,1.416
Red light,100mM,H,1.51
Red light,100mM,H,0.333
Red light,100mM,H,0.466
Red light,100mM,H,2.264
Red light,100mM,H,1.622
Red light,100mM,H,0.897
Red light,100mM,H,2.867
Red light,100mM,H,1.103
Red light,100mM,H,3.759
Red light,100mM,H,1.609
Red light,100mM,H,0.251
Red light,100mM,H,0.935
Red light,100mM,H,0.32
Red light,100mM,H,1.257
Red light,100mM,H,1.113
Red light,100mM,H,1.163
Red light,100mM,H,1.312
Red light,100mM,H,0.333
Red light,100mM,H,0.569
Red light,100mM,H,0.716
Red light,100mM,H,1.146
Red light,100mM,H,1.649
Red light,100mM,H,2.011
Red light,100mM,H,1.262
Red light,100mM,H,1.163
exp1,100mM,H,1.6
exp1,100mM,H,1.52
exp1,100mM,H,1.894
exp1,100mM,H,1.391
exp1,100mM,H,1.981
exp1,100mM,H,1.113
exp1,100mM,H,3.209
exp1,100mM,H,2.222
exp1,100mM,H,1.463
exp1,100mM,H,0.506
exp1,100mM,H,3.376
exp1,100mM,H,0.993
exp1,100mM,H,0.942
exp1,100mM,H,2.539
exp1,100mM,H,1.629
exp1,100mM,H,1.341
exp1,100mM,H,2.867
exp1,100mM,H,0.838
exp1,100mM,H,2.014
exp1,100mM,H,1.677
exp1,100mM,H,2.936
exp1,100mM,H,1.163
exp1,100mM,H,1.554
exp1,100mM,H,1.551
exp1,100mM,H,1.252
exp1,100mM,H,2.86
exp1,100mM,H,1.688
exp1,100mM,H,1.49
exp1,100mM,H,0.899
exp1,100mM,H,1.917
exp1,100mM,H,1.353
exp1,100mM,H,0.993
exp1,100mM,H,1.312
exp1,100mM,H,1.178
exp1,100mM,H,1.551
exp1,100mM,H,1.281
exp1,100mM,H,0.333
exp1,100mM,H,0.33
exp1,100mM,H,3.488
exp1,100mM,H,1.899
exp1,100mM,H,1.373
